author,views,date,order
Alex Haley,23590,7/31/2015,1
Alex Haley,24985,8/31/2015,2
Alex Haley,21724,9/30/2015,3
Alex Haley,35385,10/31/2015,4
Alex Haley,19266,11/30/2015,5
Alex Haley,19501,12/31/2015,6
Alex Haley,25746,1/31/2016,7
Alex Haley,45282,2/29/2016,8
Alex Haley,27239,3/31/2016,9
Alex Haley,26802,4/30/2016,10
Alex Haley,90574,5/31/2016,11
Alex Haley,234057,6/30/2016,12
Alex Haley,40760,7/31/2016,13
Alex Haley,31523,8/31/2016,14
Alex Haley,29525,9/30/2016,15
Alex Haley,22807,10/31/2016,16
Alex Haley,28160,11/30/2016,17
Alex Haley,22944,12/31/2016,18
Alex Haley,29611,1/31/2017,19
Alex Haley,88501,2/28/2017,20
Alex Haley,53130,3/31/2017,21
Alex Haley,22260,4/30/2017,22
Alex Haley,22162,5/31/2017,23
Alex Haley,16027,6/30/2017,24
Alex Haley,18047,7/31/2017,25
Alex Haley,20520,8/31/2017,26
Alex Haley,27253,9/30/2017,27
Alex Haley,20921,10/31/2017,28
Alex Haley,19423,11/30/2017,29
Alex Haley,17216,12/31/2017,30
Alex Haley,21270,1/31/2018,31
Alex Haley,59415,2/28/2018,32
Alex Haley,23541,3/31/2018,33
Alex Haley,22371,4/30/2018,34
Alex Haley,17969,5/31/2018,35
Alex Haley,15480,6/30/2018,36
Alex Haley,17475,7/31/2018,37
Alex Haley,17222,8/31/2018,38
Alex Haley,15334,9/30/2018,39
Alex Haley,15267,10/31/2018,40
Alex Haley,16222,11/30/2018,41
Alex Haley,19542,12/31/2018,42
Alex Haley,19009,1/31/2019,43
Alex Haley,52843,2/28/2019,44
Alex Haley,21075,3/31/2019,45
Alex Haley,24953,4/30/2019,46
Alex Haley,17722,5/31/2019,47
Alex Haley,15300,6/30/2019,48
Alex Haley,16103,7/31/2019,49
Alex Haley,20995,8/31/2019,50
Alex Haley,14369,9/30/2019,51
Alex Haley,14757,10/31/2019,52
Alex Haley,21394,11/30/2019,53
Alex Haley,16733,12/31/2019,54
Alex Haley,18264,1/31/2020,55
Alex Haley,49311,2/29/2020,56
Alex Haley,18643,3/31/2020,57
Alex Haley,20250,4/30/2020,58
Alex Haley,21050,5/31/2020,59
Alex Haley,41712,6/30/2020,60
Alex Haley,31013,7/31/2020,61
Alex Haley,22835,8/31/2020,62
Alex Haley,17020,9/30/2020,63
Alex Haley,16317,10/31/2020,64
Alex Haley,17298,11/30/2020,65
Alex Haley,18444,12/31/2020,66
Alex Haley,29473,1/31/2021,67
Alex Haley,51149,2/28/2021,68
Alex Haley,28322,3/31/2021,69
Alex Haley,20625,4/30/2021,70
Alex Haley,18972,5/31/2021,71
Alex Haley,16229,6/30/2021,72
Alex Haley,16554,7/31/2021,73
Alex Haley,22795,8/31/2021,74
Alex Haley,15234,9/30/2021,75
Alex Haley,15452,10/31/2021,76
Alex Haley,14037,11/30/2021,77
Alex Haley,17613,12/31/2021,78
Alex Haley,20248,1/31/2022,79
Alex Haley,30514,2/28/2022,80
Alex Haley,1342,3/31/2022,81
Alice Walker,27678,7/31/2015,1
Alice Walker,28817,8/31/2015,2
Alice Walker,34807,9/30/2015,3
Alice Walker,36738,10/31/2015,4
Alice Walker,39011,11/30/2015,5
Alice Walker,36976,12/31/2015,6
Alice Walker,41118,1/31/2016,7
Alice Walker,58677,2/29/2016,8
Alice Walker,44780,3/31/2016,9
Alice Walker,42191,4/30/2016,10
Alice Walker,38361,5/31/2016,11
Alice Walker,36524,6/30/2016,12
Alice Walker,30480,7/31/2016,13
Alice Walker,29321,8/31/2016,14
Alice Walker,38220,9/30/2016,15
Alice Walker,37353,10/31/2016,16
Alice Walker,36752,11/30/2016,17
Alice Walker,34017,12/31/2016,18
Alice Walker,40598,1/31/2017,19
Alice Walker,53685,2/28/2017,20
Alice Walker,47265,3/31/2017,21
Alice Walker,37458,4/30/2017,22
Alice Walker,35743,5/31/2017,23
Alice Walker,29021,6/30/2017,24
Alice Walker,27989,7/31/2017,25
Alice Walker,29956,8/31/2017,26
Alice Walker,32679,9/30/2017,27
Alice Walker,39836,10/31/2017,28
Alice Walker,37809,11/30/2017,29
Alice Walker,37831,12/31/2017,30
Alice Walker,46765,1/31/2018,31
Alice Walker,51623,2/28/2018,32
Alice Walker,46376,3/31/2018,33
Alice Walker,45362,4/30/2018,34
Alice Walker,41877,5/31/2018,35
Alice Walker,36215,6/30/2018,36
Alice Walker,33758,7/31/2018,37
Alice Walker,40124,8/31/2018,38
Alice Walker,44200,9/30/2018,39
Alice Walker,62807,10/31/2018,40
Alice Walker,46815,11/30/2018,41
Alice Walker,71076,12/31/2018,42
Alice Walker,44301,1/31/2019,43
Alice Walker,49891,2/28/2019,44
Alice Walker,43316,3/31/2019,45
Alice Walker,36566,4/30/2019,46
Alice Walker,34919,5/31/2019,47
Alice Walker,30789,6/30/2019,48
Alice Walker,34529,7/31/2019,49
Alice Walker,50327,8/31/2019,50
Alice Walker,37233,9/30/2019,51
Alice Walker,37557,10/31/2019,52
Alice Walker,36700,11/30/2019,53
Alice Walker,33082,12/31/2019,54
Alice Walker,38896,1/31/2020,55
Alice Walker,48921,2/29/2020,56
Alice Walker,41435,3/31/2020,57
Alice Walker,46338,4/30/2020,58
Alice Walker,47022,5/31/2020,59
Alice Walker,73477,6/30/2020,60
Alice Walker,74860,7/31/2020,61
Alice Walker,45617,8/31/2020,62
Alice Walker,48102,9/30/2020,63
Alice Walker,44525,10/31/2020,64
Alice Walker,49623,11/30/2020,65
Alice Walker,37614,12/31/2020,66
Alice Walker,64482,1/31/2021,67
Alice Walker,61965,2/28/2021,68
Alice Walker,57101,3/31/2021,69
Alice Walker,46735,4/30/2021,70
Alice Walker,42719,5/31/2021,71
Alice Walker,36564,6/30/2021,72
Alice Walker,39687,7/31/2021,73
Alice Walker,37051,8/31/2021,74
Alice Walker,35944,9/30/2021,75
Alice Walker,39119,10/31/2021,76
Alice Walker,34178,11/30/2021,77
Alice Walker,34697,12/31/2021,78
Alice Walker,37795,1/31/2022,79
Alice Walker,54535,2/28/2022,80
Alice Walker,3026,3/31/2022,81
Colson Whitehead,1816,7/31/2015,1
Colson Whitehead,1693,8/31/2015,2
Colson Whitehead,1918,9/30/2015,3
Colson Whitehead,2023,10/31/2015,4
Colson Whitehead,2139,11/30/2015,5
Colson Whitehead,1656,12/31/2015,6
Colson Whitehead,1812,1/31/2016,7
Colson Whitehead,1765,2/29/2016,8
Colson Whitehead,1902,3/31/2016,9
Colson Whitehead,1933,4/30/2016,10
Colson Whitehead,1719,5/31/2016,11
Colson Whitehead,1604,6/30/2016,12
Colson Whitehead,1963,7/31/2016,13
Colson Whitehead,32432,8/31/2016,14
Colson Whitehead,13704,9/30/2016,15
Colson Whitehead,9359,10/31/2016,16
Colson Whitehead,15479,11/30/2016,17
Colson Whitehead,13619,12/31/2016,18
Colson Whitehead,15994,1/31/2017,19
Colson Whitehead,13895,2/28/2017,20
Colson Whitehead,12423,3/31/2017,21
Colson Whitehead,19328,4/30/2017,22
Colson Whitehead,11936,5/31/2017,23
Colson Whitehead,11212,6/30/2017,24
Colson Whitehead,13307,7/31/2017,25
Colson Whitehead,15412,8/31/2017,26
Colson Whitehead,13063,9/30/2017,27
Colson Whitehead,12414,10/31/2017,28
Colson Whitehead,11029,11/30/2017,29
Colson Whitehead,10849,12/31/2017,30
Colson Whitehead,12684,1/31/2018,31
Colson Whitehead,13794,2/28/2018,32
Colson Whitehead,11023,3/31/2018,33
Colson Whitehead,11388,4/30/2018,34
Colson Whitehead,9402,5/31/2018,35
Colson Whitehead,7566,6/30/2018,36
Colson Whitehead,7847,7/31/2018,37
Colson Whitehead,7640,8/31/2018,38
Colson Whitehead,7649,9/30/2018,39
Colson Whitehead,8361,10/31/2018,40
Colson Whitehead,6926,11/30/2018,41
Colson Whitehead,6811,12/31/2018,42
Colson Whitehead,8326,1/31/2019,43
Colson Whitehead,7575,2/28/2019,44
Colson Whitehead,8213,3/31/2019,45
Colson Whitehead,8509,4/30/2019,46
Colson Whitehead,6577,5/31/2019,47
Colson Whitehead,9843,6/30/2019,48
Colson Whitehead,55232,7/31/2019,49
Colson Whitehead,23211,8/31/2019,50
Colson Whitehead,17048,9/30/2019,51
Colson Whitehead,13208,10/31/2019,52
Colson Whitehead,17238,11/30/2019,53
Colson Whitehead,13092,12/31/2019,54
Colson Whitehead,14691,1/31/2020,55
Colson Whitehead,11670,2/29/2020,56
Colson Whitehead,9521,3/31/2020,57
Colson Whitehead,10484,4/30/2020,58
Colson Whitehead,59225,5/31/2020,59
Colson Whitehead,32722,6/30/2020,60
Colson Whitehead,35092,7/31/2020,61
Colson Whitehead,24038,8/31/2020,62
Colson Whitehead,23679,9/30/2020,63
Colson Whitehead,18203,10/31/2020,64
Colson Whitehead,17456,11/30/2020,65
Colson Whitehead,16505,12/31/2020,66
Colson Whitehead,19085,1/31/2021,67
Colson Whitehead,19916,2/28/2021,68
Colson Whitehead,107897,3/31/2021,69
Colson Whitehead,19702,4/30/2021,70
Colson Whitehead,62390,5/31/2021,71
Colson Whitehead,24050,6/30/2021,72
Colson Whitehead,59072,7/31/2021,73
Colson Whitehead,20858,8/31/2021,74
Colson Whitehead,54213,9/30/2021,75
Colson Whitehead,33328,10/31/2021,76
Colson Whitehead,20819,11/30/2021,77
Colson Whitehead,24948,12/31/2021,78
Colson Whitehead,25514,1/31/2022,79
Colson Whitehead,20224,2/28/2022,80
Colson Whitehead,1325,3/31/2022,81
Jacqueline Woodson,3251,7/31/2015,1
Jacqueline Woodson,2195,8/31/2015,2
Jacqueline Woodson,3101,9/30/2015,3
Jacqueline Woodson,3396,10/31/2015,4
Jacqueline Woodson,2997,11/30/2015,5
Jacqueline Woodson,2422,12/31/2015,6
Jacqueline Woodson,3287,1/31/2016,7
Jacqueline Woodson,4385,2/29/2016,8
Jacqueline Woodson,3553,3/31/2016,9
Jacqueline Woodson,3675,4/30/2016,10
Jacqueline Woodson,2713,5/31/2016,11
Jacqueline Woodson,2032,6/30/2016,12
Jacqueline Woodson,1867,7/31/2016,13
Jacqueline Woodson,9219,8/31/2016,14
Jacqueline Woodson,4922,9/30/2016,15
Jacqueline Woodson,6862,10/31/2016,16
Jacqueline Woodson,4566,11/30/2016,17
Jacqueline Woodson,3973,12/31/2016,18
Jacqueline Woodson,9236,1/31/2017,19
Jacqueline Woodson,6245,2/28/2017,20
Jacqueline Woodson,4614,3/31/2017,21
Jacqueline Woodson,3522,4/30/2017,22
Jacqueline Woodson,3692,5/31/2017,23
Jacqueline Woodson,2612,6/30/2017,24
Jacqueline Woodson,2437,7/31/2017,25
Jacqueline Woodson,2616,8/31/2017,26
Jacqueline Woodson,3173,9/30/2017,27
Jacqueline Woodson,4044,10/31/2017,28
Jacqueline Woodson,4617,11/30/2017,29
Jacqueline Woodson,3041,12/31/2017,30
Jacqueline Woodson,5149,1/31/2018,31
Jacqueline Woodson,5476,2/28/2018,32
Jacqueline Woodson,10079,3/31/2018,33
Jacqueline Woodson,8923,4/30/2018,34
Jacqueline Woodson,4723,5/31/2018,35
Jacqueline Woodson,3838,6/30/2018,36
Jacqueline Woodson,3185,7/31/2018,37
Jacqueline Woodson,3097,8/31/2018,38
Jacqueline Woodson,6459,9/30/2018,39
Jacqueline Woodson,4325,10/31/2018,40
Jacqueline Woodson,3651,11/30/2018,41
Jacqueline Woodson,3379,12/31/2018,42
Jacqueline Woodson,4824,1/31/2019,43
Jacqueline Woodson,5086,2/28/2019,44
Jacqueline Woodson,4528,3/31/2019,45
Jacqueline Woodson,4691,4/30/2019,46
Jacqueline Woodson,4004,5/31/2019,47
Jacqueline Woodson,2628,6/30/2019,48
Jacqueline Woodson,2680,7/31/2019,49
Jacqueline Woodson,3167,8/31/2019,50
Jacqueline Woodson,8882,9/30/2019,51
Jacqueline Woodson,10934,10/31/2019,52
Jacqueline Woodson,8048,11/30/2019,53
Jacqueline Woodson,6633,12/31/2019,54
Jacqueline Woodson,7327,1/31/2020,55
Jacqueline Woodson,6941,2/29/2020,56
Jacqueline Woodson,5903,3/31/2020,57
Jacqueline Woodson,5484,4/30/2020,58
Jacqueline Woodson,5819,5/31/2020,59
Jacqueline Woodson,8576,6/30/2020,60
Jacqueline Woodson,5872,7/31/2020,61
Jacqueline Woodson,6009,8/31/2020,62
Jacqueline Woodson,9196,9/30/2020,63
Jacqueline Woodson,9311,10/31/2020,64
Jacqueline Woodson,6136,11/30/2020,65
Jacqueline Woodson,5321,12/31/2020,66
Jacqueline Woodson,7489,1/31/2021,67
Jacqueline Woodson,10452,2/28/2021,68
Jacqueline Woodson,8722,3/31/2021,69
Jacqueline Woodson,6505,4/30/2021,70
Jacqueline Woodson,5521,5/31/2021,71
Jacqueline Woodson,4284,6/30/2021,72
Jacqueline Woodson,3570,7/31/2021,73
Jacqueline Woodson,4495,8/31/2021,74
Jacqueline Woodson,4795,9/30/2021,75
Jacqueline Woodson,4600,10/31/2021,76
Jacqueline Woodson,4235,11/30/2021,77
Jacqueline Woodson,3833,12/31/2021,78
Jacqueline Woodson,6456,1/31/2022,79
Jacqueline Woodson,8500,2/28/2022,80
Jacqueline Woodson,558,3/31/2022,81
James Baldwin,47360,7/31/2015,1
James Baldwin,48306,8/31/2015,2
James Baldwin,38693,9/30/2015,3
James Baldwin,62646,10/31/2015,4
James Baldwin,50329,11/30/2015,5
James Baldwin,47226,12/31/2015,6
James Baldwin,47056,1/31/2016,7
James Baldwin,69049,2/29/2016,8
James Baldwin,49408,3/31/2016,9
James Baldwin,39570,4/30/2016,10
James Baldwin,38112,5/31/2016,11
James Baldwin,31353,6/30/2016,12
James Baldwin,41969,7/31/2016,13
James Baldwin,51157,8/31/2016,14
James Baldwin,47438,9/30/2016,15
James Baldwin,46918,10/31/2016,16
James Baldwin,59262,11/30/2016,17
James Baldwin,60849,12/31/2016,18
James Baldwin,132571,1/31/2017,19
James Baldwin,361523,2/28/2017,20
James Baldwin,164437,3/31/2017,21
James Baldwin,107707,4/30/2017,22
James Baldwin,137939,5/31/2017,23
James Baldwin,103174,6/30/2017,24
James Baldwin,99592,7/31/2017,25
James Baldwin,118310,8/31/2017,26
James Baldwin,86579,9/30/2017,27
James Baldwin,83443,10/31/2017,28
James Baldwin,69448,11/30/2017,29
James Baldwin,69636,12/31/2017,30
James Baldwin,172826,1/31/2018,31
James Baldwin,172769,2/28/2018,32
James Baldwin,82819,3/31/2018,33
James Baldwin,78722,4/30/2018,34
James Baldwin,70755,5/31/2018,35
James Baldwin,62720,6/30/2018,36
James Baldwin,59595,7/31/2018,37
James Baldwin,138620,8/31/2018,38
James Baldwin,77287,9/30/2018,39
James Baldwin,74611,10/31/2018,40
James Baldwin,68580,11/30/2018,41
James Baldwin,103441,12/31/2018,42
James Baldwin,166973,1/31/2019,43
James Baldwin,211621,2/28/2019,44
James Baldwin,107025,3/31/2019,45
James Baldwin,77241,4/30/2019,46
James Baldwin,66940,5/31/2019,47
James Baldwin,56221,6/30/2019,48
James Baldwin,53838,7/31/2019,49
James Baldwin,99947,8/31/2019,50
James Baldwin,68422,9/30/2019,51
James Baldwin,66171,10/31/2019,52
James Baldwin,62106,11/30/2019,53
James Baldwin,62740,12/31/2019,54
James Baldwin,66312,1/31/2020,55
James Baldwin,117087,2/29/2020,56
James Baldwin,58611,3/31/2020,57
James Baldwin,69280,4/30/2020,58
James Baldwin,131517,5/31/2020,59
James Baldwin,690760,6/30/2020,60
James Baldwin,346308,7/31/2020,61
James Baldwin,229175,8/31/2020,62
James Baldwin,132199,9/30/2020,63
James Baldwin,144188,10/31/2020,64
James Baldwin,157586,11/30/2020,65
James Baldwin,116565,12/31/2020,66
James Baldwin,192480,1/31/2021,67
James Baldwin,212820,2/28/2021,68
James Baldwin,144345,3/31/2021,69
James Baldwin,116128,4/30/2021,70
James Baldwin,96624,5/31/2021,71
James Baldwin,126017,6/30/2021,72
James Baldwin,85929,7/31/2021,73
James Baldwin,91269,8/31/2021,74
James Baldwin,70855,9/30/2021,75
James Baldwin,108344,10/31/2021,76
James Baldwin,83644,11/30/2021,77
James Baldwin,71687,12/31/2021,78
James Baldwin,92244,1/31/2022,79
James Baldwin,128550,2/28/2022,80
James Baldwin,6775,3/31/2022,81
James Weldon Johnson,4438,7/31/2015,1
James Weldon Johnson,4186,8/31/2015,2
James Weldon Johnson,5582,9/30/2015,3
James Weldon Johnson,7183,10/31/2015,4
James Weldon Johnson,7160,11/30/2015,5
James Weldon Johnson,6625,12/31/2015,6
James Weldon Johnson,9590,1/31/2016,7
James Weldon Johnson,20404,2/29/2016,8
James Weldon Johnson,10011,3/31/2016,9
James Weldon Johnson,8566,4/30/2016,10
James Weldon Johnson,7148,5/31/2016,11
James Weldon Johnson,5241,6/30/2016,12
James Weldon Johnson,4226,7/31/2016,13
James Weldon Johnson,4660,8/31/2016,14
James Weldon Johnson,8157,9/30/2016,15
James Weldon Johnson,7770,10/31/2016,16
James Weldon Johnson,7305,11/30/2016,17
James Weldon Johnson,7102,12/31/2016,18
James Weldon Johnson,10175,1/31/2017,19
James Weldon Johnson,20816,2/28/2017,20
James Weldon Johnson,10651,3/31/2017,21
James Weldon Johnson,7912,4/30/2017,22
James Weldon Johnson,7139,5/31/2017,23
James Weldon Johnson,5589,6/30/2017,24
James Weldon Johnson,5559,7/31/2017,25
James Weldon Johnson,4802,8/31/2017,26
James Weldon Johnson,6978,9/30/2017,27
James Weldon Johnson,8829,10/31/2017,28
James Weldon Johnson,7310,11/30/2017,29
James Weldon Johnson,6446,12/31/2017,30
James Weldon Johnson,10732,1/31/2018,31
James Weldon Johnson,19769,2/28/2018,32
James Weldon Johnson,10416,3/31/2018,33
James Weldon Johnson,10682,4/30/2018,34
James Weldon Johnson,7684,5/31/2018,35
James Weldon Johnson,6017,6/30/2018,36
James Weldon Johnson,5112,7/31/2018,37
James Weldon Johnson,6170,8/31/2018,38
James Weldon Johnson,5863,9/30/2018,39
James Weldon Johnson,6969,10/31/2018,40
James Weldon Johnson,6717,11/30/2018,41
James Weldon Johnson,5937,12/31/2018,42
James Weldon Johnson,10128,1/31/2019,43
James Weldon Johnson,19091,2/28/2019,44
James Weldon Johnson,9427,3/31/2019,45
James Weldon Johnson,9326,4/30/2019,46
James Weldon Johnson,7437,5/31/2019,47
James Weldon Johnson,6320,6/30/2019,48
James Weldon Johnson,5827,7/31/2019,49
James Weldon Johnson,5580,8/31/2019,50
James Weldon Johnson,6084,9/30/2019,51
James Weldon Johnson,6789,10/31/2019,52
James Weldon Johnson,6639,11/30/2019,53
James Weldon Johnson,6023,12/31/2019,54
James Weldon Johnson,9997,1/31/2020,55
James Weldon Johnson,19454,2/29/2020,56
James Weldon Johnson,8080,3/31/2020,57
James Weldon Johnson,6830,4/30/2020,58
James Weldon Johnson,6642,5/31/2020,59
James Weldon Johnson,22187,6/30/2020,60
James Weldon Johnson,55238,7/31/2020,61
James Weldon Johnson,10831,8/31/2020,62
James Weldon Johnson,21154,9/30/2020,63
James Weldon Johnson,9101,10/31/2020,64
James Weldon Johnson,7814,11/30/2020,65
James Weldon Johnson,8704,12/31/2020,66
James Weldon Johnson,12166,1/31/2021,67
James Weldon Johnson,23605,2/28/2021,68
James Weldon Johnson,11730,3/31/2021,69
James Weldon Johnson,8131,4/30/2021,70
James Weldon Johnson,7762,5/31/2021,71
James Weldon Johnson,10650,6/30/2021,72
James Weldon Johnson,18059,7/31/2021,73
James Weldon Johnson,5939,8/31/2021,74
James Weldon Johnson,10834,9/30/2021,75
James Weldon Johnson,7243,10/31/2021,76
James Weldon Johnson,7675,11/30/2021,77
James Weldon Johnson,5989,12/31/2021,78
James Weldon Johnson,9015,1/31/2022,79
James Weldon Johnson,21952,2/28/2022,80
James Weldon Johnson,984,3/31/2022,81
Jesmyn Ward,1350,7/31/2015,1
Jesmyn Ward,2657,8/31/2015,2
Jesmyn Ward,1830,9/30/2015,3
Jesmyn Ward,1434,10/31/2015,4
Jesmyn Ward,1390,11/30/2015,5
Jesmyn Ward,1263,12/31/2015,6
Jesmyn Ward,1206,1/31/2016,7
Jesmyn Ward,2067,2/29/2016,8
Jesmyn Ward,1376,3/31/2016,9
Jesmyn Ward,1456,4/30/2016,10
Jesmyn Ward,1243,5/31/2016,11
Jesmyn Ward,944,6/30/2016,12
Jesmyn Ward,1243,7/31/2016,13
Jesmyn Ward,2952,8/31/2016,14
Jesmyn Ward,1733,9/30/2016,15
Jesmyn Ward,1296,10/31/2016,16
Jesmyn Ward,1233,11/30/2016,17
Jesmyn Ward,1338,12/31/2016,18
Jesmyn Ward,1377,1/31/2017,19
Jesmyn Ward,1630,2/28/2017,20
Jesmyn Ward,1618,3/31/2017,21
Jesmyn Ward,1436,4/30/2017,22
Jesmyn Ward,1488,5/31/2017,23
Jesmyn Ward,1756,6/30/2017,24
Jesmyn Ward,1976,7/31/2017,25
Jesmyn Ward,4261,8/31/2017,26
Jesmyn Ward,14723,9/30/2017,27
Jesmyn Ward,20516,10/31/2017,28
Jesmyn Ward,22480,11/30/2017,29
Jesmyn Ward,13408,12/31/2017,30
Jesmyn Ward,19430,1/31/2018,31
Jesmyn Ward,13438,2/28/2018,32
Jesmyn Ward,10729,3/31/2018,33
Jesmyn Ward,14337,4/30/2018,34
Jesmyn Ward,16170,5/31/2018,35
Jesmyn Ward,8769,6/30/2018,36
Jesmyn Ward,9071,7/31/2018,37
Jesmyn Ward,10324,8/31/2018,38
Jesmyn Ward,7182,9/30/2018,39
Jesmyn Ward,7230,10/31/2018,40
Jesmyn Ward,6838,11/30/2018,41
Jesmyn Ward,6813,12/31/2018,42
Jesmyn Ward,7468,1/31/2019,43
Jesmyn Ward,7531,2/28/2019,44
Jesmyn Ward,6759,3/31/2019,45
Jesmyn Ward,5890,4/30/2019,46
Jesmyn Ward,5238,5/31/2019,47
Jesmyn Ward,4940,6/30/2019,48
Jesmyn Ward,4997,7/31/2019,49
Jesmyn Ward,6666,8/31/2019,50
Jesmyn Ward,5854,9/30/2019,51
Jesmyn Ward,5826,10/31/2019,52
Jesmyn Ward,5439,11/30/2019,53
Jesmyn Ward,5094,12/31/2019,54
Jesmyn Ward,6231,1/31/2020,55
Jesmyn Ward,5362,2/29/2020,56
Jesmyn Ward,4571,3/31/2020,57
Jesmyn Ward,5139,4/30/2020,58
Jesmyn Ward,5085,5/31/2020,59
Jesmyn Ward,12174,6/30/2020,60
Jesmyn Ward,7385,7/31/2020,61
Jesmyn Ward,5998,8/31/2020,62
Jesmyn Ward,57737,9/30/2020,63
Jesmyn Ward,8285,10/31/2020,64
Jesmyn Ward,8189,11/30/2020,65
Jesmyn Ward,7711,12/31/2020,66
Jesmyn Ward,8023,1/31/2021,67
Jesmyn Ward,7808,2/28/2021,68
Jesmyn Ward,6537,3/31/2021,69
Jesmyn Ward,5779,4/30/2021,70
Jesmyn Ward,5139,5/31/2021,71
Jesmyn Ward,4232,6/30/2021,72
Jesmyn Ward,4453,7/31/2021,73
Jesmyn Ward,3933,8/31/2021,74
Jesmyn Ward,3826,9/30/2021,75
Jesmyn Ward,4127,10/31/2021,76
Jesmyn Ward,3787,11/30/2021,77
Jesmyn Ward,3515,12/31/2021,78
Jesmyn Ward,4025,1/31/2022,79
Jesmyn Ward,5010,2/28/2022,80
Jesmyn Ward,312,3/31/2022,81
Octavia E. Butler,10995,7/31/2015,1
Octavia E. Butler,10473,8/31/2015,2
Octavia E. Butler,12572,9/30/2015,3
Octavia E. Butler,11068,10/31/2015,4
Octavia E. Butler,12544,11/30/2015,5
Octavia E. Butler,12003,12/31/2015,6
Octavia E. Butler,20100,1/31/2016,7
Octavia E. Butler,20181,2/29/2016,8
Octavia E. Butler,16620,3/31/2016,9
Octavia E. Butler,14073,4/30/2016,10
Octavia E. Butler,12690,5/31/2016,11
Octavia E. Butler,11699,6/30/2016,12
Octavia E. Butler,16787,7/31/2016,13
Octavia E. Butler,13579,8/31/2016,14
Octavia E. Butler,12959,9/30/2016,15
Octavia E. Butler,14133,10/31/2016,16
Octavia E. Butler,15754,11/30/2016,17
Octavia E. Butler,16622,12/31/2016,18
Octavia E. Butler,18718,1/31/2017,19
Octavia E. Butler,21723,2/28/2017,20
Octavia E. Butler,19419,3/31/2017,21
Octavia E. Butler,19109,4/30/2017,22
Octavia E. Butler,16212,5/31/2017,23
Octavia E. Butler,17128,6/30/2017,24
Octavia E. Butler,28286,7/31/2017,25
Octavia E. Butler,23873,8/31/2017,26
Octavia E. Butler,17025,9/30/2017,27
Octavia E. Butler,18017,10/31/2017,28
Octavia E. Butler,18396,11/30/2017,29
Octavia E. Butler,20291,12/31/2017,30
Octavia E. Butler,23182,1/31/2018,31
Octavia E. Butler,27411,2/28/2018,32
Octavia E. Butler,22603,3/31/2018,33
Octavia E. Butler,20792,4/30/2018,34
Octavia E. Butler,19148,5/31/2018,35
Octavia E. Butler,472371,6/30/2018,36
